"","Zone","Année","Valeur"
"1","Afghanistan","2016-2018",10500000
"2","Afrique du Sud","2016-2018",3100000
"3","Albanie","2016-2018",1e+05
"4","Algérie","2016-2018",1300000
"5","Angola","2016-2018",5800000
"6","Arabie saoudite","2016-2018",1600000
"7","Argentine","2016-2018",1500000
"8","Arménie","2016-2018",0
"9","Bangladesh","2016-2018",21500000
"10","Barbade","2016-2018",0
"11","Belize","2016-2018",0
"12","Bénin","2016-2018",8e+05
"13","Bolivie (État plurinational de)","2016-2018",1700000
"14","Botswana","2016-2018",5e+05
"15","Bulgarie","2016-2018",2e+05
"16","Burkina Faso","2016-2018",3600000
"17","Cabo Verde","2016-2018",0
"18","Cambodge","2016-2018",2400000
"19","Cameroun","2016-2018",1600000
"20","Chili","2016-2018",6e+05
"21","Chine - RAS de Macao","2016-2018",0
"22","Chine, Taiwan Province de","2016-2018",9e+05
"23","Chypre","2016-2018",0
"24","Colombie","2016-2018",2700000
"25","Congo","2016-2018",1400000
"26","Costa Rica","2016-2018",2e+05
"27","Côte d'Ivoire","2016-2018",4900000
"28","Dominique","2016-2018",0
"29","Égypte","2016-2018",4600000
"30","El Salvador","2016-2018",6e+05
"31","Émirats arabes unis","2016-2018",3e+05
"32","Équateur","2016-2018",1500000
"33","Eswatini","2016-2018",2e+05
"34","Éthiopie","2016-2018",21100000
"35","Fidji","2016-2018",0
"36","Gabon","2016-2018",3e+05
"37","Gambie","2016-2018",3e+05
"38","Géorgie","2016-2018",3e+05
"39","Ghana","2016-2018",2e+06
"40","Guatemala","2016-2018",2700000
"41","Guyana","2016-2018",0
"42","Haïti","2016-2018",5300000
"43","Honduras","2016-2018",1300000
"44","Îles Salomon","2016-2018",0
"45","Inde","2016-2018",190100000
"46","Indonésie","2016-2018",23600000
"47","Iran (République islamique d')","2016-2018",3900000
"48","Iraq","2016-2018",9e+06
"49","Jamaïque","2016-2018",3e+05
"50","Jordanie","2016-2018",8e+05
"51","Kenya","2016-2018",11900000
"52","Kirghizistan","2016-2018",4e+05
"53","Kiribati","2016-2018",0
"54","Lesotho","2016-2018",8e+05
"55","Liban","2016-2018",4e+05
"56","Libéria","2016-2018",1800000
"57","Macédoine du Nord","2016-2018",0
"58","Madagascar","2016-2018",10500000
"59","Malaisie","2016-2018",1e+06
"60","Malawi","2016-2018",3300000
"61","Mali","2016-2018",1e+06
"62","Maroc","2016-2018",1400000
"63","Maurice","2016-2018",0
"64","Mauritanie","2016-2018",5e+05
"65","Mexique","2016-2018",8400000
"66","Mongolie","2016-2018",6e+05
"67","Mozambique","2016-2018",9400000
"68","Myanmar","2016-2018",7300000
"69","Namibie","2016-2018",3e+05
"70","Népal","2016-2018",1700000
"71","Nicaragua","2016-2018",1100000
"72","Nigéria","2016-2018",22800000
"73","Nouvelle-Calédonie","2016-2018",0
"74","Oman","2016-2018",4e+05
"75","Ouzbékistan","2016-2018",9e+05
"76","Pakistan","2016-2018",24800000
"77","Panama","2016-2018",3e+05
"78","Paraguay","2016-2018",6e+05
"79","Pérou","2016-2018",2200000
"80","Philippines","2016-2018",15700000
"81","Polynésie française","2016-2018",0
"82","République dominicaine","2016-2018",6e+05
"83","République populaire démocratique de Corée","2016-2018",1.2e+07
"84","République-Unie de Tanzanie","2016-2018",13400000
"85","Rwanda","2016-2018",4200000
"86","Saint-Vincent-et-les Grenadines","2016-2018",0
"87","Sao Tomé-et-Principe","2016-2018",0
"88","Sénégal","2016-2018",1500000
"89","Serbie","2016-2018",4e+05
"90","Sierra Leone","2016-2018",2e+06
"91","Slovaquie","2016-2018",3e+05
"92","Soudan","2016-2018",5e+06
"93","Sri Lanka","2016-2018",1600000
"94","Suriname","2016-2018",0
"95","Tchad","2016-2018",5700000
"96","Thaïlande","2016-2018",6200000
"97","Timor-Leste","2016-2018",4e+05
"98","Togo","2016-2018",1600000
"99","Trinité-et-Tobago","2016-2018",0
"100","Turkménistan","2016-2018",2e+05
"101","Ukraine","2016-2018",1500000
"102","Vanuatu","2016-2018",0
"103","Venezuela (République bolivarienne du)","2016-2018",8e+06
"104","Viet Nam","2016-2018",6500000
